startYear,WorldwideGross_long,WorldwideGross_other
2000,71719931,38574362
2001,71523271,30354471.5
2002,107054484,33481883
2003,90670457.5,50409753
2004,120380128.5,38329114
2005,96947540,46920996.5
2006,87226613,45117283.5
2007,63491056,54541345
2008,113805580,44667382.5
2009,131516178,40881751
2010,152566881,58150595
2011,116809717,52545707
2012,188964587,43257851.5
2013,114136536,48543388
2014,201815498.5,40855130
2015,91902438,32608019
2016,119266661,46329298
2017,150807630,49046121
2018,76165397,45623072.5
2019,53956480,42176201
2020,15177894,12512576.5
2021,37994866,40714339.5
2022,136539552,80638827.5
2023,163582139,55364864
