startYear,Top 0%-10%,Top 10%-20%,Top 20%-30%,Top 30%-40%,Top 40%-50%,Top 50%-60%,Top 60%-70%,Top 70%-80%,Top 80%-90%,Top 90%-100%,Total
2000,105,100,96,96,92,91,91,90,87,88,93
2001,104,99.5,97,95,92.5,93,90,90,90,85,94
2002,101,100,98.5,95,92,92,91,90,88,85,93
2003,104,100,97,96,94,93,90,89,86,85,93
2004,104,98,95,95,95,92,89,88,86,84,93
2005,104,100,96,94,93,91.5,90,87,85,80,92
2006,102,97,96,95,93,90,90,87,85,83,92
2007,101,98,95,95,92,90,90,88,85,83,92
2008,101,98,96,95,92,90,90,88,84,84,92
2009,100,96,94,92,90,90,88,86,85,84,90
2010,103,96,95,91,90,90,87,85.5,83,82,90
2011,102,96,93,92,90,90,88,86,82,80,90
2012,101,95,93,91,90,88,88,85,86,82,90
2013,102,96,94,91,90,90,86,85,84,82,90
2014,102,95,94,92,90,90,88,85,85,82,90
2015,100,97,95,93,90,90,89,86,85,80,90
2016,103,98,94,93,90,90,88,86,85,83,91
2017,104,98,94,93,91,90,89,87,85,83,91
2018,104,99,94,93,92,90,89,86,85,83,92
2019,104,100,96,94,91.5,90,89,88,87,82,92
2020,102,97,94,92,90,88,87,85,83,81,90
2021,108,102,96,94,92,91,90,89,86,83,93
2022,112,108,100,98.5,96,95,93,90,90,88,96
2023,116.5,106,108,99,97,92,95,93,90,90,97
