Year,Median_Runtime
1894,45
1896,61
1897,100
1899,135
1900,59.5
1903,45
1904,68
1905,48.5
1906,87.5
1907,67.5
1908,120
1909,50
1910,76
1911,51
1912,50
1913,64
1914,60
1915,56
1916,53
1917,60
1918,60
1919,60
1920,67
1921,67
1922,70
1923,75
1924,70
1925,70
1926,70
1927,70
1928,72
1929,76
1930,76
1931,76
1932,74.5
1933,74
1934,76
1935,75
1936,75
1937,78
1938,80
1939,82
1940,81
1941,82
1942,82
1943,84
1944,85
1945,84
1946,86
1947,88
1948,87
1949,89
1950,89
1951,89
1952,90
1953,90
1954,91
1955,92
1956,91
1957,90
1958,91
1959,91
1960,92
1961,91
1962,91.5
1963,92
1964,92
1965,92
1966,91
1967,92
1968,92
1969,91
1970,90
1971,90
1972,90
1973,90
1974,91
1975,91
1976,91
1977,92
1978,92
1979,92
1980,93
1981,92
1982,91
1983,91
1984,92
1985,92
1986,91
1987,92
1988,92
1989,93
1990,93
1991,94
1992,95
1993,94
1994,95
1995,93
1996,95
1997,95
1998,94
1999,94
2000,93
2001,94
2002,93
2003,93
2004,93
2005,92
2006,92
2007,92
2008,92
2009,90
2010,90
2011,90
2012,90
2013,90
2014,90
2015,90
2016,91
2017,91
2018,92
2019,92
2020,90
2021,93
2022,96
2023,97
